Reference Handle,Token,Item Name,Customer-facing name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online sale price,Archived,Sellable,Contains alcohol,Stockable,Skip Detail screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Wild Octave Organics,New Quantity Wild Octave Organics,Stock Alert Enabled Wild Octave Organics,Stock Alert Count Wild Octave Organics,Modifier Set - 01 Coffee Type,Modifier Set - 02 Milk,Modifier Set - 03 strength,Modifier Set - 04 Sugar / Sweetener,Modifier Set - 05 Half & Half Hot Drink,Modifier Set - 06 Drink Heat,Modifier Set - Add-Ons,Modifier Set - Decaf,Modifier Set - Fruits - custom,Modifier Set - Fruits - Custom (Custom Juice Only),Modifier Set - iced,Modifier Set - Juice instead of milk,Modifier Set - Mushroom Booster Mod,Modifier Set - on side,Modifier Set - Own Cup,Modifier Set - Smoothie milks,Modifier Set - Super Foods & Mush Add-On,Tax - GST (10%),Tax - GST Free (0%)
#009-brazil-nuts-bulk-,HABGTLVV5XFBLML2YVL7JCXF,009 Brazil Nuts Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,54.60,,N,,N,,N,,,31.20,Absoulutely Wholesale,,3.39,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#01-soap-neem-aura-round-vrindavan-,7NPKQRPNQOPTS4PHQHVLDEJL,"01 Soap Neem Aura round, Vrindavan",,,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,212473627473,visible,Physical good,,,,Y,N,N,N,6.00,,N,,N,,N,,,2.75,,,-1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#010-bee-pollen-bulk-,65P4QC7ROROG4RG5CHJHM3EM,010 Bee Pollen Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,140.00,,N,,N,,N,,,80.00,,,0.815,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#011-cashews-raw-bulk-,M5GYJX3B2LOCL5B3OL3TEIW3,011 Cashews Raw Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,33.60,,N,,N,,N,,,19.20,Absoulutely Wholesale,,0.285,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#012-cashews-dry-roasted-bulk-,EGQ3L6I2XZBVUWWVRGGVGXAW,012 Cashews Dry Roasted Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,39.95,,N,,N,,N,,,20.75,Absoulutely Wholesale,,1.355,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#013-cashews-roasted-and-salted-bulk-,GPHJ3FHKGDYX6C3S6AFYSHO6,013 Cashews Roasted And Salted Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,40.80,,N,,N,,N,,,21.20,Absoulutely Wholesale,,2.81,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#014-choc-almonds-bulk-,5NU7HVHJC3EOFR3WU7GNOQU2,014 Choc Almonds Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,60.15,,N,,N,,N,,,31.25,byron bay choc company,,7.58,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#015-chocolate-macadamia-bulk-,EOEB52AAGKU432W33S7ZPQTD,015 Chocolate Macadamia Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,74.50,,N,,N,,N,,,44.30,byron bay choc company,,2.135,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#016-choc-goji-berries-bulk-,RDOB4OUSXZISSK2T6W53S3A7,016 Choc Goji Berries Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,38.85,,N,,N,,N,,,20.18,,,0.887,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#017-choc-banana-bulk-dark-,BO2WXRHIWNCQHBQYO6WQFA32,017 Choc Banana Bulk Dark,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,43.75,,N,,N,,N,,,22.73,,,9.635,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#018-choc-cherries-bulk-,ZPQ4KYGENBUW754J4F6YAEDG,018 Choc Cherries Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,43.30,,N,,N,,N,,,22.49,,,2.97,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#019-choc-strawberry-bulk-,CSZWX6TO57U2YQFHYWF5ZJFL,019 Choc Strawberry Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,83.75,,N,,N,,N,,,43.50,byron bay choc company,,7.327,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#02-soap-cinnamon-round-vrindavan-,DUNTZVMVA5FYUVD5NIJEE526,"02 Soap Cinnamon round, Vrindavan",,,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,217196665849,visible,Physical good,,,,Y,N,N,N,6.00,,N,,N,,N,,,3.10,,,-42,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#020-choc-blueberry-bulk-,I2TE4JQRWSGE53UAMCQOOYNU,020 Choc Blueberry Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,70.25,,N,,N,,N,,,36.50,byron bay choc company,,8.186,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#021-choc-liquorice-bulk-,LKCUBURE3BWQSDQOPX7JMKWC,021 Choc Liquorice Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,32.30,,N,,N,,N,,,16.78,,,0.668,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#022-choc-sultanes-bulk-,JL6ZMFYOVLF7OKSC54ESURSO,022 Choc Sultanes Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,54.60,,N,,N,,N,,,28.36,,,7.39,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#023-chocote-white-bulk-,P2WHE5M6UEC4KSGSXD6AEMUO,023 Chocote White Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,86.10,,N,,N,,N,,,49.20,United Organics,,5.215,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#024-chocolate-milk-bulk-,ZZJUW3VYG3KK6KQ6UE4W4FNH,024 Chocolate Milk Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,84.70,,N,,N,,N,,,48.40,United Organics,,3.325,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#025-chocolate-dark-bulk-,ZL74BU7INGLIXEDU6OU2HZVA,025 Chocolate Dark Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,98.00,,N,,N,,N,,,56.00,United Organics,,2.605,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#026-peppermint-button-bulk-,YOINFKR6IOVHWHMPIQMDVAZN,026 Peppermint Button Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,22.65,,N,,N,,N,,,12.94,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#027-carob-buttons-bulk-,CS3ZJEYHGYSDL6AAGZWPC2NN,027 Carob Buttons Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,28.60,,N,,N,,N,,,14.85,,,1.225,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#028-chia-seeds-bulk-,62KKWCNXMAORRGJZGZWMDSV7,028 Chia Seeds Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,23.10,,N,,N,,N,,,12.70,Absoulutely Wholesale,,2.11,,Y,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#029-cacao-powder-bulk-,GUFFQTF6ALSGX6MLHDUGUUQW,029 Cacao Powder Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,41.45,,N,,N,,N,,,22.25,Absoulutely Wholesale,,4.606,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#03-soap-lemon-myrtle-round-vrindavan-,JCSZ5ROKGYT64GKOQYNYBD4U,"03 Soap Lemon Myrtle round, Vrindavan",,,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,215748682627,visible,Physical good,,,,Y,N,N,N,6.00,,N,,N,,N,,,3.10,,,-7,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#030-cranberries-organic-bulk-,IIMCNLLIQZO7FBOAB53OMSVT,030 Cranberries Organic Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,28.35,,N,,N,,N,,,15.94,trumps,,10.328,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#031-chickpeas-bulk-,D35XVV2N6FD3F3EAGCQVUZKP,031 Chickpeas Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,7.85,,N,,N,,N,,,3.60,Santos Organics,,20.175,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#032-cacao-nibs-bulk-,AC64J5VW4KZSIOJ3OUO4BVDA,032 Cacao Nibs Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,80.40,,N,,N,,N,,,45.95,trumps,,14.571,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#033-coconut-shredded-bulk-,GAUGQIRALMTMY27DPSEWAFEA,033 Coconut Shredded Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,unavailable,Physical good,,,,Y,N,N,N,variable,,N,,N,,N,,,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#034-dates-aseel-bulk-,W4VYN7ERCHDULJZKHQ3WT5CF,034 Dates Aseel Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,12.25,,N,,N,,N,,,7.00,Absoulutely Wholesale,,5.435,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#035-dates-medjool-bulk-,SDJ2U6THCSAO5JKBUPX24CE5,035 Dates Medjool Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,28.70,,N,,N,,N,,,16.40,United Organics,,5.487,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#036-dahl-chana-bulk-,EZMSYSJ2KNGBMNHTXOVHKQVY,036 Dahl Chana Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,11.30,,N,,N,,N,,,6.46,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#037-dahl-mung-bulk-,R3K2XSWSIHDNYAJKAHP26Z46,037 Dahl Mung Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,10.40,,N,,N,,N,,,5.94,,,-2.425,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#038-dandelion-chicory-roasted-bulk-,EO36ZM7YI7G2WVXVNZN5VQU5,038 Dandelion & Chicory Roasted Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,35.20,,N,,N,,N,,,21.12,Full moon health,,16.835,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#039-figs-dried-bulk-,5ECXFY6PGZ5UQD63SP4KTHBI,039 Figs Dried Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,38.15,,N,,N,,N,,,21.80,United Organics,,9.695,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#04-soap-rose-geranium-round-vrindavan-,TMI2VEZAUS5DWIXYXVKZPO3P,"04 Soap Rose Geranium round, Vrindavan",,,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,217094581395,visible,Physical good,,,,Y,N,N,N,6.00,,N,,N,,N,,,3.10,,,14,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#040-apple-cranberry-granola-bulk-,FODVDBJKPL5QJAWJULOE6GBV,040 apple cranberry Granola Bulk,,,Litre 1.000,,"Oats, Honey, Cranberries (8%) (cranberries, sugar, sunflower oil), brown sugar, apple (5%) (apple, preservative (220) (sulphites), food acid (330)), oat flour, vegetable oil (sunflower oil (antioxidants 307, 319, 320), antifoam (900a)).",Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,20.05,,N,,N,,N,,,11.45,trumps,,12.876,,Y,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#041-goji-berries-bulk-,VU5UXVHIWIYSWFAA6WVOMAZT,041 Goji Berries Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,34.50,,N,,N,,N,,,19.70,Absoulutely Wholesale,,0.96,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#042-ginger-dried-crystalized-bulk-,5U4TUPR2ZPVBMPWIHUI3MEQC,042 Ginger Dried Crystalized Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,38.30,,N,,N,,N,,,21.73,Absoulutely Wholesale,,0.605,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#043-hemp-seeds-bulk-,CU4IMIVBD45J34JU7TSVXJIV,043 Hemp Seeds Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,51.10,,N,,N,,N,,,29.20,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#044-hazelnuts-bulk-,7SJRIS7Z5M6Q6EWZVV65HLQC,044 Hazelnuts Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,27.90,,N,,N,,N,,,15.94,,,2.03,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#045-inca-berries-bulk-,IKS4T2DEGHI6CJA2FHGP76IS,045 Inca Berries Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,45.40,,N,,N,,N,,,25.95,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#046-linseed-bulk-,UVGUKQ6UUFPIBGHV65OJ6O5L,046 Linseed Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,9.00,,N,,N,,N,,,4.45,Absoulutely Wholesale,,17.235,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#047-lentils-split-red-org-bulk-,QEDCEUPX5QD3YGP7L4LVQ4IG,047 Lentils Split Red org Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,15.25,,N,,N,,N,,,8.25,Absoulutely Wholesale,,19.195,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#048-lentils-black-bulk-,JREKTEUDJZGL66AFO73FVGOB,048 Lentils Black Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,14.70,,N,,N,,N,,,8.40,,,11.315,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#049-lentils-french-green-bulk-,MCXI7LG3ZRACDPL22HB4T5C7,049 Lentils French Green Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,13.90,,N,,N,,N,,,7.94,,,12.295,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#05-soap-orange-calendula-round-vrindavan-,X3WQIPZLLQF6NUZLMX7PHRZU,"05 Soap Orange & Calendula round, Vrindavan",,,,,,"Shelf Labels > Label  Soap, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,219266679886,visible,Physical good,,,,Y,N,N,N,6.00,,N,,N,,N,,,3.10,,,14,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#050-liquorice-spelt-bulk-,MZW4L726TBSOA6KL445XNKP2,050 Liquorice Spelt Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,26.10,,N,,N,,N,,,13.55,,,0.902,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#051-lupin-flour-bulk-,6KFXGO3BLYFCD244Q75Q56JU,051 Lupin Flour Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,unavailable,Physical good,,,,Y,N,N,N,variable,,N,,N,,N,,,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#052-maca-powder-bulk-,KC2XP4SKRW6CN3AJGKUJWTQJ,052 Maca Powder Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,29.35,,N,,N,,N,,,16.77,Absoulutely Wholesale,,1.145,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#053-macadamia-roasted-salted-bulk-,7QYG5OZLVS5B7CTWU7ZKRKLS,053 Macadamia Roasted Salted Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,55.05,,N,,N,,N,,,28.60,Absoulutely Wholesale,,5.43,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#055-macadamias-raw-bulk-,OX6JT7IBETG54LXL7EU6JCIL,055 Macadamias Raw Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,53.70,,N,,N,,N,,,30.70,Absoulutely Wholesale,,1.918,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#056-muslie-natural-bulk-,4MVFT4KWI75MM3ASYZHD2YPY,056 Muslie Natural Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,12.15,,N,,N,,N,,,6.94,,,2.33,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#057-swiss-muesli-bulk-,C6OPS7HME7H2YFTIZUZXPAVH,057 Swiss Muesli Bulk,,,Litre 1.000,,"Rolled Oats, Trittcale Flakes, Sultanas (vegetable oil), Sunflower Kernels, Walnuts, Hulled Millet, Almonds, Diced Apricots (Preservative 220, sulphites, rice flour), Pepitas, Hazelnuts, Coconut (Preservative (220), Sulfates), Diced Apple (Preservative (223), Sulphates), Diced Apple (Preservative 222, Sulphates), Food Acid (E330).",Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,13.75,,N,,N,,N,,,7.85,trumps,,2.545,,Y,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#058-muesli-toasted-bulk-,G2RECNSI2ISFUKNGXU6YF6C4,058 Muesli Toasted Bulk,,,Litre 1.000,,"Honey, Toasted Oats (rolled ats, vegetable oil (sunflower oil (anitoxidants (307, 319, 320), antifoam (900a)), golden syrup (sugar, water), glucose syrup (glucose, preservative (223) (sulphites)), honey), sultanas (vegetable oil), sunflower, bran straws (wheat bran (72.2%), wheat starch, sugar, salt), bananas (cocout oil, sugar, banana flavour), coconuit (preservative (223), Papaya (sugar, food acid (330), preservative (223) sulphites)), pineapple (sugar, food acid (330), presertave (223) (sulphites), almonds, apricots Irice flour, preservative 220) (sulphates), apples (preservative 220) (sulphites), food acid (330)), walnuts, sesame seeds, cashews.",Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,12.65,,N,,N,,N,,,7.80,trumps,,8.955,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#059-mango-dried-bulk-,E4DON5K4BXVLMDRGUKBMWVYF,059 Mango Dried Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,43.20,,N,,N,,N,,,24.70,Absoulutely Wholesale,,-0.87,,Y,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
