Vendor Name,Item Name,Item Variation,SKU,Category,Product Sales,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,Gross Sales,GTIN
All Good Foods,Cashew Cheese Olive Oregano Nutty Bay 270g,Regular,"",Groceries,$15.00,$0.00,-$15.00,$0.00,$0.00,ea,1,0,$0.00,787099328191
All Good Foods,Chicken Bone Broth 500 Mullumbimby Merchants,Regular,"",Groceries,$27.24,$0.00,$0.00,$27.24,$2.76,ea,2,0,$30.00,9314075002984
All Good Foods,Crispibread Quinoa 125g,Regular,"",Groceries,$10.16,$0.00,$0.00,$10.16,$1.04,ea,2,0,$11.20,720516022234
All Good Foods,Dona Cholita Blue Corn Totops 170g,Regular,"",Groceries,$19.60,$0.00,$0.00,$19.60,$2.00,ea,2,0,$21.60,735204341634
All Good Foods,Dona Cholita Chipotle Corn Totops 170g,Regular,"",Groceries,$9.82,$0.00,$0.00,$9.82,$0.98,ea,1,0,$10.80,735204341658
All Good Foods,Dona Cholita White Corn Totops 170g,Regular,"",Groceries,$49.04,$0.00,$0.00,$49.04,$4.96,ea,5,0,$54.00,735204341641
All Good Foods,"Essene Supreme Sprouted Bread 1.1kg, Pure Life Org",Regular,"",Groceries,$12.90,$0.00,$0.00,$12.90,$0.00,ea,1,0,$12.90,9327546002000
All Good Foods,"Five Seeds Sprouted Bread 900g, Pure Life",Regular,"",Groceries,$15.95,$0.00,$0.00,$15.95,$0.00,ea,1,0,$15.95,9327546002116
All Good Foods,Fresh Corn Tortillas 12 Dona Cholita,Regular,"",Groceries,$8.60,$0.00,-$1.29,$7.31,$0.00,ea,1,0,$7.31,683405832409
All Good Foods,"Habanero Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$7.50,$0.00,$0.00,$7.50,$0.00,ea,1,0,$7.50,9314075001048
All Good Foods,"Harissa Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$7.50,$0.00,$0.00,$7.50,$0.00,ea,1,0,$7.50,9314075001031
All Good Foods,Humble Hummus 375g,Regular,"",Groceries,$9.90,$0.00,$0.00,$9.90,$0.00,ea,2,0,$9.90,9314075001062
All Good Foods,Humble Hummus 900g,Regular,"",Groceries,$18.00,$0.00,$0.00,$18.00,$0.00,ea,2,0,$18.00,9314075001079
All Good Foods,"Instant Plan Flour 500g, Orgran",Regular,"",Groceries,$6.70,$0.00,$0.00,$6.70,$0.00,ea,1,0,$6.70,720516020551
All Good Foods,Kim Chi 440g Alive Foods,Regular,"",Groceries,$15.00,$0.00,-$2.25,$12.75,$0.00,ea,1,0,$12.75,764210573197
All Good Foods,"Organic Chicken Bone Broth 1L , Mullumbimbi Merchants",Regular,"",Groceries,$25.50,$0.00,$0.00,$25.50,$0.00,ea,1,0,$25.50,9314075002977
All Good Foods,Soyco Sesame Soy & Ginger Tofu 200g,Regular,"",Groceries,$18.00,$0.00,$0.00,$18.00,$0.00,ea,3,0,$18.00,9313727010261
All Good Foods,Tempeh Organic Chickpea 300g Byron Bay,Regular,"",Groceries,$26.50,$0.00,-$1.32,$25.18,$0.00,ea,2,0,$25.18,680569878601
All Good Foods,"Tofu Org 350g, Nutrisoy",Regular,"",Groceries,$23.00,$0.00,$0.00,$23.00,$0.00,ea,4,0,$23.00,9313727000118
All Good Foods,"Tofu Org 750g, Nutrisoy",Regular,"",Groceries,$22.00,$0.00,$0.00,$22.00,$0.00,ea,2,0,$22.00,9313727000125
All Good Foods,Tofu Spicy 200g Nutrisoy,Regular,"",Groceries,$6.00,$0.00,$0.00,$6.00,$0.00,ea,1,0,$6.00,9313727002013
All Good Foods,Traditional Hummus 270g Naked Byron Foods Org,Regular,"",Groceries,$20.70,$0.00,$0.00,$20.70,$0.00,ea,3,0,$20.70,9314075001000
All Good Foods,Traditional Sauerkraut 440g Alive Foods,Regular,"",Groceries,$30.00,$0.00,$0.00,$30.00,$0.00,ea,2,0,$30.00,764210573227
All Good Foods,"Vegan Mayonnaise 465g, Naked Byron Foods",Regular,"",Groceries,$9.90,$0.00,$0.00,$9.90,$0.00,ea,1,0,$9.90,9314075000409
All Good Foods,"Za'atar Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$22.50,$0.00,$0.00,$22.50,$0.00,ea,3,0,$22.50,9314075001024
