Vendor Name,Item Name,Item Variation,SKU,Category,Product Sales,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,Gross Sales,GTIN
All Good Foods,"Essene Supreme Sprouted Bread 1.1kg, Pure Life Org",Regular,"",Groceries,$38.70,$0.00,$0.00,$38.70,$0.00,ea,3,0,$38.70,9327546002000
All Good Foods,French Beetroot Sauerkraut 440g Alive Foods,Regular,"",Groceries,$15.00,$0.00,$0.00,$15.00,$0.00,ea,1,0,$15.00,764210573203
All Good Foods,Fresh Corn Tortillas 12 Dona Cholita,Regular,"",Groceries,$8.60,$0.00,$0.00,$8.60,$0.00,ea,1,0,$8.60,683405832409
All Good Foods,"Habanero Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$7.50,$0.00,$0.00,$7.50,$0.00,ea,1,0,$7.50,9314075001048
All Good Foods,Humble Hummus 900g,Regular,"",Groceries,$18.00,$0.00,$0.00,$18.00,$0.00,ea,2,0,$18.00,9314075001079
All Good Foods,Living Chai Org Chai 770ml,Regular,"",Groceries,$22.38,$0.00,$0.00,$22.38,$2.27,ea,1,0,$24.65,9356865000084
All Good Foods,Moro Extra Virgin Olive Oil 500ml,Regular,"",Groceries,$21.10,$0.00,$0.00,$21.10,$0.00,ea,1,0,$21.10,9310175700072
All Good Foods,"Multiseed w Hemp Sprouted Bread 1.1kg, Pure Life",Regular,"",Groceries,$14.40,$0.00,$0.00,$14.40,$0.00,ea,1,0,$14.40,9327546002086
All Good Foods,"Rosebank gold Espresso coffee, 200g",Regular,"",Groceries,$12.70,$0.00,$0.00,$12.70,$0.00,ea,1,0,$12.70,9369999297565
All Good Foods,Soyco Sesame Soy & Ginger Tofu 200g,Regular,"",Groceries,$6.00,$0.00,$0.00,$6.00,$0.00,ea,1,0,$6.00,9313727010261
All Good Foods,Taste Nirvana Coconut Water 700ml,Regular,"",Groceries,$35.80,$0.00,$0.00,$35.80,$0.00,ea,4,0,$35.80,011259904247
All Good Foods,Tempeh Organic Chickpea 300g Byron Bay,Regular,"",Groceries,$39.75,$0.00,$0.00,$39.75,$0.00,ea,3,0,$39.75,680569878601
All Good Foods,Tempeh Organic Fava Wakame 300g Byron Bay,Regular,"",Groceries,$39.75,$0.00,-$1.33,$38.42,$0.00,ea,3,0,$38.42,680569878595
All Good Foods,"Tofu Org 350g, Nutrisoy",Regular,"",Groceries,$46.00,$0.00,$0.00,$46.00,$0.00,ea,8,0,$46.00,9313727000118
All Good Foods,"Tofu Org 750g, Nutrisoy",Regular,"",Groceries,$11.00,$0.00,-$1.10,$9.90,$0.00,ea,1,0,$9.90,9313727000125
All Good Foods,Tofu Spicy 200g Nutrisoy,Regular,"",Groceries,$18.00,$0.00,-$13.50,$4.50,$0.00,ea,3,0,$4.50,9313727002013
All Good Foods,Tofu Teriyaki 200g Nutrisoy,Regular,"",Groceries,$12.00,$0.00,$0.00,$12.00,$0.00,ea,2,0,$12.00,9313727002020
All Good Foods,Traditional Hummus 270g Naked Byron Foods Org,Regular,"",Groceries,$13.80,$0.00,$0.00,$13.80,$0.00,ea,2,0,$13.80,9314075001000
All Good Foods,"Vegan Butter 170g, Nutty Bay",Regular,"",Groceries,$10.95,$0.00,$0.00,$10.95,$0.00,ea,1,0,$10.95,746935031732
All Good Foods,"Vegan Mayonnaise 465g, Naked Byron Foods",Regular,"",Groceries,$9.90,$0.00,$0.00,$9.90,$0.00,ea,1,0,$9.90,9314075000409
All Good Foods,"Za'atar Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$15.00,$0.00,$0.00,$15.00,$0.00,ea,2,0,$15.00,9314075001024
